UK Food,US Matches
"Tagliatelle with ham, mushroom and cheese, chilled/frozen/longlife, reheated",
"Chicken curry, chilled/frozen, reheated, with rice",
"Chicken in sauce with vegetables, chilled/frozen, reheated","Chicken in cream sauce with noodles and vegetable (frozen meal)(67.77% match #28143170); Chicken in butter sauce with potatoes and vegetable (diet frozen meal)(67.19% match #28143180); Chicken in soy-based sauce, rice and vegetables (frozen meal)(65.55% match #28143200); "
"Chicken in white sauce, canned","Chicken with mole sauce(67.92% match #27146160); Chicken in cheese sauce with Spanish rice(64.79% match #27243700); Tangerine juice, canned(60.38% match #61213220); "
"Chicken, stir-fried with rice and vegetables, frozen, reheated","Chicken, fried, with potatoes, vegetable (frozen meal)(70.69% match #28140710); Chicken in soy-based sauce, rice and vegetables (frozen meal)(69.92% match #28143200); Teriyaki chicken with rice and vegetable (diet frozen meal)(66.12% match #28141201); "
"Chicken wings, marinated, chilled/frozen, barbecued",
"Chicken wings, marinated, chilled/frozen, barbecued, weighed with bone",
"Chilli con carne, canned",Chili con carne with beans(72.0% match #27111410); Chili con carne without beans(67.92% match #27111420); Chili con carne with beans and rice(67.8% match #27213150); 
"Chicken chasseur, weighed with bone",
"Chilli con carne, chilled/frozen, reheated, with rice","Chili con carne, NS as to beans, with cheese(61.86% match #27111430); "
"Cannelloni, chilled/frozen, reheated",
"Cottage/Shepherd's pie, chilled/frozen, reheated",
"Irish stew, canned","Fish, NS as to type, canned(66.67% match #26100180); Lobster, canned(66.67% match #26311180); Oysters, canned(66.67% match #26315180); "
"Lamb/Beef hot pot with potatoes, chilled/frozen, retail, reheated","Beef with potatoes (frozen meal, large meat portion)(61.54% match #28110120); "
"Lasagne, chilled/frozen, reheated",
"Minced beef with gravy with/without onions, canned",
"Moussaka, chilled/frozen/longlife, reheated",
"Pork spare ribs, 'barbecue style', chilled/frozen, reheated","Pork, spareribs, barbecued, with sauce, lean and fat eaten(61.54% match #22701040); Pork, spareribs, barbecued, with sauce, lean only eaten(61.4% match #22701050); "
"Pork spare ribs, 'barbecue style', chilled/frozen, reheated,  weighed with bone",
"Chilli con carne, chilled/frozen, reheated",
"Meat loaf, chilled/frozen, reheated",
"Chicken in white sauce, made with whole milk","Corn, cooked, from canned, with cream sauce, made with milk(64.08% match #75411033); Chicken in cheese sauce with Spanish rice(63.53% match #27243700); Chicken or turkey salad, made with light mayonnaise(63.16% match #27446225); "
"Beefburgers, homemade, fried","Sturgeon, coated, fried(62.75% match #26147140); "
Pancake roll,"Pancakes, rye(72.0% match #55105400); Pancakes, cornmeal(66.67% match #55105100); Pancakes, sour dough(62.5% match #55105300); "
"Lamb samosa, homemade, baked",
"Chicken breast, marinated with garlic and herbs, chilled/frozen, baked",
"Chicken goujons, chilled/frozen, baked",
"Chicken tandoori, chilled, reheated","Chicken, chicken roll, roasted(64.62% match #24198670); Chicken sandwich, with spread(62.5% match #27540110); Chicken sandwich, with cheese and spread(61.33% match #27540111); "
"Doner kebabs, meat only",
"Chicken curry, chilled/frozen, reheated",Chicken burritos (diet frozen meal)(62.16% match #58306500); 
"Faggots in gravy, chilled/frozen, reheated",
"Beef curry, chilled/frozen, reheated","Blueberries, frozen, sweetened(60.61% match #63203550); "
"Shish kebab, meat only","Chicken, canned, meat only(66.67% match #24198570); "
Shish kebab in pitta bread with salad,
"Beef casserole, canned","Beef, roast, canned(73.17% match #21401400); Mackerel, canned(63.16% match #26121180); Escarole, creamed(61.54% match #72116230); "
"Beef curry, canned","Beef, roast, canned(75.68% match #21401400); Beef curry(71.43% match #27116100); Anchovy, canned(60.61% match #26101180); "
"Beef curry, chilled/frozen, reheated, with rice",
"Beef in sauce with vegetables, chilled/frozen, reheated","Beef with vegetable (diet frozen meal)(66.67% match #28110150); Sushi, with vegetables, rolled in seaweed(60.42% match #58151140); "
"Beef stew and dumplings, canned",
"Beef stew and dumplings, retail, cooked",
Doner kebab in pitta bread with salad,
Pasta with meat and tomato sauce,"Pasta with cheese and meat sauce(81.25% match #58146120); Pasta with cheese and tomato sauce, meatless(76.32% match #58146150); Eggplant with cheese and tomato sauce(75.36% match #75412070); "
"Beef, stir-fried with green peppers",
"Chicken curry, made with canned curry sauce","Chicken or turkey salad, made with mayonnaise(61.36% match #27446200); Chicken or turkey salad, made with creamy dressing(60.22% match #27446240); Pie, cherry, made with cream cheese and sour cream(60.22% match #53340500); "
"Chilli con carne, homemade",Chili con carne with beans(73.08% match #27111410); Chili con carne without beans(72.73% match #27111420); Chili con carne with beans and rice(68.85% match #27213150); 
Coq au vin,
Coronation chicken,Orange chicken(62.5% match #27146350); Almond chicken(62.5% match #27445250); 
Goulash,"Goulash, NFS(73.68% match #27360010); "
Irish stew,Irish Coffee(63.64% match #93301400); 
"Irish stew, made with lean lamb",
"Beef stew, homemade",
Lancashire hotpot,
"Lamb curry, made with canned curry sauce",
"Pork casserole, made with canned cook-in sauce","Perch, coated, fried, made with cooking spray(63.74% match #26127144); Squash, summer, casserole, with rice and tomato sauce(62.63% match #75418030); Perch, baked or broiled, made with cooking spray(61.7% match #26127124); "
Sweet and sour pork,Sweet and sour pork(100.0% match #27120060); Sweet and sour soup(84.21% match #28340550); Sweet and sour pork with rice(79.17% match #27320500); 
Chicken chasseur,Chicken curry(75.86% match #27146150); Chicken feet(64.29% match #24198500); Chicken kiev(64.29% match #27146400); 
Sausage casserole,Spinach and cheese casserole(62.22% match #72125260); 
"Beef stir-fried with green peppers in black bean sauce, takeaway",
"Beef chow mein, retail, reheated",
Bolognese sauce (with meat),"Bologna sandwich, with spread(64.29% match #27560110); Bologna and cheese sandwich, with spread(62.69% match #27560120); "
"Spaghetti bolognese, chilled/frozen, reheated, with spaghetti",
Lamb kheema,
Chicken satay,"Chicken, tail(76.92% match #24198340); Chicken skin(72.0% match #24198440); Chicken feet(72.0% match #24198500); "
"Chicken korma, takeaway",Chicken or turkey hash(66.67% match #27241000); Chicken or turkey divan(65.22% match #27443150); Chicken or turkey souffle(62.5% match #27246400); 
"Chicken with cashew nuts, takeaway",
"Lasagne, homemade","Salsa, red, homemade(75.68% match #74402200); Lasagna, meatless(70.59% match #58130310); "
Beef koftas,Beef goulash(69.57% match #27111100); Beef pot pie(60.87% match #27317010); 
"Lamb rogan josh, takeaway",
"Sweet and sour pork, battered, takeaway",Sweet and sour pork(65.52% match #27120060); Sweet and sour pork with rice(64.71% match #27320500); 
"Chicken curry, average, takeaway",
"Sweet and sour chicken, takeaway",Sweet and sour chicken or turkey(84.38% match #27146100); Sweet and sour sauce(65.38% match #91361010); Sweet and sour shrimp(64.15% match #27150170); 
"Chicken tikka masala, retail",Chicken salad spread(66.67% match #25240110); 
"Beef bourguignonne, made with lean beef",
"Spring rolls, meat, takeaway",
"Spaghetti bolognese, chilled/frozen, reheated",
"Beef curry, reduced fat","Beef sausage, reduced fat(79.17% match #25220106); Cheese, Monterey, reduced fat(69.23% match #14106500); Cheese, Muenster, reduced fat(69.23% match #14107250); "
"Chicken fried rice, takeaway",
Beef bourguignonne,Beef burgundy (beef bourguignonne)(69.23% match #27111200); 
"Chicken chop suey, takeaway",Chicken or turkey parmigiana(61.82% match #27146300); Chicken or turkey pot pie(61.54% match #27347100); 
"Meat samosas, takeaway",
"Chicken chow mein, takeaway",
"Beef casserole, made with canned cook-in sauce","Squash, summer, casserole, with rice and tomato sauce(62.63% match #75418030); "
"Corned beef, canned","Corned beef, pressed(76.92% match #25231150); Corned beef sandwich(76.92% match #27510910); Corned beef hash(74.29% match #27211400); "
"Haggis, boiled","Goat, boiled(69.23% match #23150100); Peanuts, boiled(68.97% match #42111030); Dasheen, boiled(68.97% match #71962010); "
"Ham and pork, chopped, canned",
"Lamb roast, frozen, cooked","Lamb hocks, cooked(68.18% match #23111010); Papaya, green, cooked(63.83% match #63133050); Peas, from frozen, creamed(61.54% match #75417012); "
"Luncheon meat, canned","Luncheon meat, NFS(76.92% match #25230110); Lasagna with meat, canned(69.57% match #58130013); "
Meat spread,Yeast extract spread(64.52% match #75236500); Sandwich spread(61.54% match #81302040); 
Pastrami,Pastrami sandwich(64.0% match #27511010); 
Chicken slices,"Chicken skin(76.92% match #24198440); Chicken kiev(76.92% match #27146400); Chicken liver, braised(66.67% match #25110420); "
"Black pudding, dry-fried",
"Minced beef in gravy, canned",
"Minced beef pie filling, canned",
"Luncheon meat, Chinese, steamed","Coconut meat, dried, sweetened(62.3% match #42106020); "
Chicken roll,"Chicken, ground(74.07% match #24198720); Chicken curry(72.0% match #27146150); Chicken feet(66.67% match #24198500); "
"Chicken nuggets, takeaway",Chicken nuggets(75.0% match #24198740); 
"Chicken kiev, frozen, baked","Chicken divan (frozen meal)(70.37% match #28140150); Chicken liver, fried(68.09% match #25110450); Chicken dinner, NFS (frozen meal)(66.67% match #28140100); "
"Chicken fingers, baked","Chicken liver, braised(77.27% match #25110420); Chicken liver, fried(71.43% match #25110450); Corn pone, baked(63.16% match #52208010); "
"Chicken breast in crumbs, chilled, grilled",
"Chicken breast in crumbs, chilled, raw",
Brawn,Brandy(72.73% match #93501000); 
"Black pudding, raw","Blackberries, raw(62.86% match #63201010); Calamondin, raw(60.61% match #61100500); "
Beef slices,"Beef, pickled(66.67% match #21002000); Beef salad(66.67% match #27416250); Beer, lite(66.67% match #93102000); "
"Pate, liver, in a tube",
"Pork sausages, raw, average","Pork sausage(61.54% match #25221405); Pork sausage, reduced fat(61.54% match #25221406); "
Salami,"Salami, NFS(70.59% match #25221500); Salami, beef(66.67% match #25221530); "
Polony,
Pepperami,"Pepperoni(77.78% match #25221250); Pepper steak(66.67% match #27416150); Pineapple, raw(60.87% match #63141010); "
"Chicken in crumbs, stuffed with cheese and vegetables,  chilled/frozen, baked","Chicken in cream sauce with noodles and vegetable (frozen meal)(70.0% match #28143170); Chicken in butter sauce with potatoes and vegetable (diet frozen meal)(65.31% match #28143180); Chicken in soy-based sauce, rice and vegetables (frozen meal)(62.32% match #28143200); "
"Pancakes, beef, frozen, shallow-fried",
"Frankfurter with bun, ketchup, fried onions and mustard",
"Sausage rolls, short pastry, homemade",
Mortadella,Mortadella(100.0% match #25221210); 
Frankfurter with bun,"Frankfurter or hot dog, with chili, no bun(64.52% match #27120210); "
"Steak and kidney pudding, homemade",
"Lamb samosas, homemade, deep fried",
"Steak and kidney pie, single crust, homemade",
"Scotch eggs, retail",
"Saveloy, unbattered, takeaway",
"Pate, liver",
"Turkey sausages, raw","Turkey, nuggets(62.86% match #24208000); Pork sausage(62.5% match #25221405); Pork sausage, reduced fat(62.22% match #25221406); "
"Cornish pastie, retail",
"Pancakes, chicken, frozen, shallow-fried",
"Pate, meat, reduced fat","Crackers, wheat, reduced fat(78.43% match #54338100); Pancakes, plain, reduced fat(74.51% match #55101015); Pancakes, whole wheat, reduced fat(73.68% match #55105205); "
White pudding,White Russian(69.23% match #93301250); Potato pudding(66.67% match #71702000); 
"Turkey steaks in crumbs, frozen, grilled",
Turkey slices,Turkey salami(76.92% match #25230840); Turkey pastrami(64.29% match #25230820); 
Turkey roll,"Turkey, ground(72.0% match #24207000); Turkey ham(66.67% match #25230800); Turkey salami(66.67% match #25230840); "
"Turkey roast, frozen, cooked","Turkey, neck, cooked(70.83% match #24202600); Turkey bacon, cooked(70.83% match #24208500); Turkey, back, cooked(66.67% match #24205100); "
Tongue slices,"Tongue, cooked(66.67% match #25160000); "
"Tongue, canned","Turkey, canned(78.57% match #24206000); Tongue, cooked(78.57% match #25160000); Salmon, canned(71.43% match #26137180); "
"Stewed steak with gravy, canned","Swiss steak, with gravy, meatless(71.88% match #41811950); Pasta, meat-filled, with gravy, canned(66.67% match #58146200); "
"Rissoles, savoury",
Pork slices,Pork sandwich(66.67% match #27520520); Pralines(63.16% match #91735000); 
"Pork roast, frozen, cooked","Pork roast, loin, cooked, lean only eaten(65.67% match #22401020); Pork, pigs feet, cooked(65.31% match #22707010); Pork, neck bones, cooked(64.0% match #22706010); "
Pork haslet,Pork sausage(69.57% match #25221405); 
"Sausage roll, flaky pastry, cooked",
"Steaklets, frozen, raw","Peas, green, raw(68.42% match #75120000); Peas, from frozen, creamed(62.5% match #75417012); "
"Beef sausages, chilled, raw","Beef sausage with cheese(62.75% match #25220150); Beef sausage, reduced fat(61.54% match #25220106); "
"Steak and kidney/Beef pie, individual, chilled/frozen, baked",
"Sausage rolls, flaky pastry, homemade",
"Sausage rolls, puff pastry",
"Pork pie, sliced","Pork, pigs feet, pickled(70.0% match #22707020); Pork skin, boiled(66.67% match #22709110); Corn pone, fried(62.5% match #52208020); "
"Pork pie, mini","Cookie, pumpkin(62.07% match #53236100); Pie, pumpkin(61.54% match #53347000); "
"Pork pie, individual",
Pork and egg pie,Pork and beans(66.67% match #41208030); Pork sandwich(62.07% match #27520520); 
Liver sausage,Beef sausage(72.0% match #25220105); Pork sausage(72.0% match #25221405); Pickled sausage(71.43% match #25221950); 
Game pie,Ham pot pie(63.16% match #27320020); Grape juice(63.16% match #64116020); 
"Steak and kidney pudding, canned",
"Beef sausages, chilled, fried","Beef sausage, reduced fat(66.67% match #25220106); Beef sausage with cheese(64.15% match #25220150); Sea bass, coated, fried(61.54% match #26141140); "
"Beef pie, chilled/frozen, baked","Beef, dried, chipped, uncooked(62.3% match #21602000); "
"Lamb samosa, homemade, deep-fried",
"Quarterpounder, takeaway",
"Grillsteaks, beef, chilled/frozen, fried",
"Grillsteaks, beef, chilled/frozen, raw",
"Beefburgers in gravy, canned",
"Beefburgers, low fat, chilled/frozen, grilled",
"Beefburgers, low fat, chilled/frozen, fried",
"Beefburgers, low fat, chilled/frozen, raw",
"Pork shoulder, cured, slices","Pork roll, cured, fried(70.59% match #22431000); Pork bacon, smoked or cured, cooked(60.32% match #22601000); "
"Ham, premium","Ham, prosciutto(66.67% match #22311450); "
"Ham, Parma",
"Ham, canned","Clams, canned(83.33% match #26303180); Crab, canned(78.26% match #26305180); Shrimp, canned(72.0% match #26319180); "
"Bridie/Scotch pie, individual",
Frankfurter,Frankenberry(60.87% match #57211000); Corn fritter(60.87% match #75411020); 
Knackwurst,Knockwurst(90.0% match #25221110); 
"Chicken pie, individual, chilled/frozen, baked",
Garlic sausage,Garlic sauce(84.62% match #81301000); Pork sausage(69.23% match #25221405); Pickled sausage(68.97% match #25221950); 
"Beef sausages, chilled, grilled","Beef sausage, reduced fat(64.29% match #25220106); Beef sausage with cheese(61.82% match #25220150); "
Chorizo,Chorizo(100.0% match #25220710); Cheerios(66.67% match #57123000); 
Cervelat,
Bratwurst,Bratwurst(100.0% match #25220350); Liverwurst(63.16% match #25230560); 
Bierwurst,Liverwurst(84.21% match #25230560); 
"Premium sausages, chilled, grilled",
"Premium sausages, chilled, fried",
"Premium sausages, chilled, raw",
"Pork and beef, economy sausages, chilled, grilled",
"Pork and beef, economy sausages, chilled, fried",Pork and beef sausage(61.76% match #25221460); 
"Pork sausages, chilled, fried","Pork sausage, reduced fat(66.67% match #25221406); Porgy, coated, fried(65.31% match #26133140); Barracuda, coated, fried(60.38% match #26103140); "
Kabana,
"Pork and beef, economy sausages, chilled, raw",Pork and beef sausage(63.64% match #25221460); 
"Pork sausages, chilled, raw","Pork sausage(61.54% match #25221405); Pork sausage, reduced fat(61.54% match #25221406); "
"Pork sausages, chilled, grilled","Pork sausage, reduced fat(64.29% match #25221406); "
"Pork sausages, frozen, raw","Pancakes and sausage (frozen meal)(63.33% match #58310310); Pork sausage, reduced fat(62.75% match #25221406); Cabbage, green, raw(62.22% match #75103000); "
"Pork sausages, frozen, fried","Pork sausage, reduced fat(67.92% match #25221406); Pork sausage rice links(62.75% match #25221450); Porgy, coated, fried(62.5% match #26133140); "
"Pork and beef sausages, chilled, grilled",Pork and beef sausage(68.85% match #25221460); 
"Pork sausages, reduced fat, chilled/frozen, raw","Pork sausage, reduced fat(69.44% match #25221406); "
"Pork sausages, reduced fat, chilled/frozen, fried","Pork sausage, reduced fat(67.57% match #25221406); Tartar sauce, reduced fatcalorie(61.73% match #81312000); "
"Pork sausages, reduced fat, chilled/frozen, grilled","Pork sausage, reduced fat(65.79% match #25221406); Tartar sauce, reduced fatcalorie(60.24% match #81312000); "
"Pork and beef sausages, chilled, raw",Pork and beef sausage(73.68% match #25221460); 
"Pork sausages, frozen, grilled","Pork sausage, reduced fat(61.82% match #25221406); Pork sausage rice links(60.38% match #25221450); "
"Pork and beef sausages, frozen, raw",Pork and beef sausage(75.0% match #25221460); Pancakes and sausage (frozen meal)(66.67% match #58310310); 
"Sweetbread, lamb, fried","Sweetbreads, cooked(66.67% match #25140110); Bread, dough, fried(61.9% match #51140100); Sweet potato, fried(61.9% match #73410110); "
"Sweetbread, lamb, raw","Seaweed, raw(60.61% match #75127500); "
"Oxtail, stewed",Oxtail soup(64.0% match #28310150); 
"Oxtail, raw","Basil, raw(76.19% match #75109400); Nectarine, raw(64.0% match #63131010); Orange, raw(63.64% match #61119010); "
"Liver, pig, stewed",
"Liver, ox, raw","Lime, raw(69.57% match #61116010); Chives, raw(64.0% match #75109500); Leek, raw(60.87% match #75112500); "
"Liver, ox, stewed","Venisondeer, stewed(61.11% match #23322400); "
"Tongue, lamb, raw","Tangelo, raw(68.97% match #61125000); Beans, lima, raw(60.61% match #75102000); "
"Kidney, lamb, fried","Pie, lemon, fried pie(65.0% match #53305750); Wine, table, red(62.86% match #93401010); "
"Liver, pig, raw","Herring, raw(66.67% match #26119100); Lime, raw(66.67% match #61116010); Chives, raw(61.54% match #75109500); "
"Tongue, ox, pickled, raw","Tongue, cooked(63.16% match #25160000); Mango, pickled(63.16% match #63129020); Egg, whole, pickled(60.47% match #31107000); "
"Tongue, ox, pickled, stewed","Tongue, smoked, cured, or pickled, cooked(64.71% match #25160110); Tomatoes, from canned, stewed(64.29% match #74204013); "
"Tongue, ox, stewed","Tongue, cooked(68.75% match #25160000); Tomatoes, from fresh, stewed(60.87% match #74204011); "
"Tongue, sheep, stewed","Tomatoes, from fresh, stewed(61.22% match #74204011); "
"Tripe, dressed, raw","Raspberries, red, raw(65.0% match #63219020); Peas, green, raw(62.86% match #75120000); Tomatoes, green, raw(61.54% match #74102000); "
"Pork, trotters and tails, boiled","Pork skin, boiled(61.22% match #22709110); "
"Heart, lamb, roasted","Bread, black, toasted(68.29% match #51407020); Bread, pita, toasted(65.0% match #51109110); Bread, cinnamon, toasted(63.64% match #51113100); "
"Liver, lamb, fried","Pie, lemon, fried pie(66.67% match #53305750); Beef liver, fried(62.86% match #25110140); Pie, apple, fried pie(61.54% match #53301080); "
"Giblets, chicken, boiled","Octopus, dried, boiled(60.87% match #26205180); "
"Liver, lamb, raw","Lime, raw(64.0% match #61116010); Beans, lima, raw(62.5% match #75102000); Pepper, poblano, raw(61.11% match #75121400); "
"Kidney, lamb, grilled",
"Heart, pig, raw","Herring, raw(74.07% match #26119100); Pear, raw(66.67% match #63137010); Pear, Japanese, raw(64.71% match #63137050); "
"Liver, chicken, fried","Lobster, coated, fried(65.12% match #26311140); Pie, cherry, fried pie(65.12% match #53305080); Pie, lemon, fried pie(61.9% match #53305750); "
"Tripe, dressed, stewed","Wine, dessert, sweet(66.67% match #93402000); "
"Brain, lamb, boiled","Banana, ripe, boiled(66.67% match #63107310); Brains, cooked(60.61% match #25150000); "
"Giblets, chicken, raw",
"Heart, lamb, raw","Beans, lima, raw(68.75% match #75102000); Pear, Japanese, raw(62.86% match #63137050); Pepper, poblano, raw(61.11% match #75121400); "
"Giblets, turkey, boiled","Octopus, dried, boiled(62.22% match #26205180); "
"Oxtail, stewed, weighed with fat and bones",
"Heart, ox, stewed","Heart, cooked(66.67% match #25120000); "
"Heart, pig, stewed","Bread, pita, toasted(63.16% match #51109110); "
"Kidney, lamb, raw","Beans, lima, raw(60.61% match #75102000); Fennel bulb, raw(60.61% match #75109010); "
"Kidney, ox, raw","Kidney, cooked(62.07% match #25130000); "
"Kidney, ox, stewed","Kidney, cooked(68.75% match #25130000); "
"Kidney, pig, raw",
"Kidney, pig, fried","Pie, apricot, fried pie(63.41% match #53302080); Pie, apple, fried pie(61.54% match #53301080); Pie, peach, fried pie(61.54% match #53307080); "
"Kidney, pig, stewed","Wild pig, smoked(62.86% match #23345100); Kidney, cooked(60.61% match #25130000); "
"Liver, calf, raw","Lime, raw(64.0% match #61116010); "
"Liver, calf, fried","Pike, coated, fried(70.27% match #26129140); Lobster, coated, fried(70.0% match #26311140); Pie, apple, fried pie(66.67% match #53301080); "
"Liver, chicken, raw","Turnover, chicken, with gravy(66.67% match #58126310); "
"Heart, ox, raw","Pear, raw(69.57% match #63137010); Herring, raw(61.54% match #26119100); Carrots, raw(61.54% match #73101010); "
"Partridge, roasted, meat only","Chicken, canned, meat only(65.45% match #24198570); "
"Partridge, roasted, meat only, weighed with bone",
"Pheasant, roasted, meat only, weighed with bone","Veal, roasted, lean only eaten(62.34% match #23210030); "
"Pheasant, casseroled, meat only","Chicken, canned, meat only(70.18% match #24198570); "
"Pheasant, roasted, meat only","Veal, roasted, lean only eaten(68.97% match #23210030); Chicken, canned, meat only(62.96% match #24198570); Peanuts, roasted, without salt(62.07% match #42111110); "
"Pigeon, roasted, meat only, weighed with bone","Veal, roasted, lean only eaten(61.33% match #23210030); "
"Pigeon, roasted, meat only","Chicken, canned, meat only(73.08% match #24198570); Pie, oatmeal(63.16% match #53385500); "
"Pork, loin joint, raw, lean and fat","Pork roast, loin, cooked, lean and fat eaten(65.82% match #22401010); Pork chop, broiled or baked, lean and fat eaten(63.41% match #22101110); Lamb, loin chop, cooked, lean and fat eaten(61.54% match #23104010); "
"Pork, spare rib chops, raw, lean and fat","Pork, spareribs, cooked, lean and fat eaten(74.7% match #22701010); Pork, spareribs, cooked, lean only eaten(70.0% match #22701020); Pork, spareribs, barbecued, with sauce, lean and fat eaten(67.35% match #22701040); "
"Pork, mince, stewed","Bread, rice, toasted(61.54% match #51806020); "
"Pork, mince, raw","Pompano, raw(64.29% match #26131100); Corn, raw(64.0% match #75109600); Pomegranate, raw(62.5% match #63145010); "
"Pork, loin steaks, fried, lean and fat","Pork chop, fried, lean and fat eaten(72.97% match #22101210); Pork steak or cutlet, fried, lean and fat eaten(72.94% match #22201210); Pork steak or cutlet, fried, lean only eaten(68.29% match #22201220); "
"Pork, loin steaks, fried, lean","Pork, tenderloin, breaded, fried(64.52% match #22210310); Pork, tenderloin, battered, fried(63.49% match #22210450); "
"Pork, loin steaks, raw, lean and fat","Pork chop, stewed, lean and fat eaten(65.75% match #22101510); Pork steak or cutlet, fried, lean and fat eaten(65.06% match #22201210); Pork roast, loin, cooked, lean and fat eaten(65.0% match #22401010); "
"Pork, loin joint, roasted, lean and fat","Pork roast, loin, cooked, lean and fat eaten(69.88% match #22401010); Pork, NS as to cut, fried, lean and fat eaten(66.67% match #22000210); Veal, roasted, lean and fat eaten(66.67% match #23210020); "
"Pork, loin joint, roasted, lean","Turkey, light meat, roasted, skin eaten(62.86% match #24201130); "
"Pork, loin joint, pot-roasted, lean and fat","Pork roast, loin, cooked, lean and fat eaten(68.97% match #22401010); Lamb, loin chop, cooked, lean and fat eaten(65.12% match #23104010); Pork, spareribs, cooked, lean and fat eaten(62.79% match #22701010); "
"Pork, loin joint, raw, lean and fat, weighed with bone","Pork roast, loin, cooked, lean and fat eaten(61.22% match #22401010); "
"Pork, steaks, stewed, lean","Pork chop, stewed, lean only eaten(63.33% match #22101520); "
"Pork, loin chops, roasted, lean and fat, weighed with bone","Pork chop, stewed, lean and fat eaten(69.47% match #22101510); Lamb, loin chop, cooked, lean and fat eaten(67.33% match #23104010); Veal chop, broiled, lean and fat eaten(62.5% match #23203110); "
"Pork, loin chops, roasted, lean and fat","Pork chop, stewed, lean and fat eaten(76.32% match #22101510); Lamb, loin chop, cooked, lean and fat eaten(73.17% match #23104010); Lamb, loin chop, cooked, lean only eaten(68.35% match #23104020); "
"Pork, loin chops, roasted, lean","Pork chop, stewed, lean only eaten(64.62% match #22101520); Lamb, loin chop, cooked, lean only eaten(61.97% match #23104020); Pork roast, loin, cooked, lean only eaten(61.11% match #22401020); "
"Pork, loin chops, microwaved, lean and fat","Lamb, loin chop, cooked, lean and fat eaten(72.94% match #23104010); Pork chop, stewed, lean and fat eaten(70.89% match #22101510); Pork roast, loin, cooked, lean and fat eaten(69.77% match #22401010); "
"Pork, loin chops, microwaved, lean","Lamb, loin chop, cooked, lean only eaten(62.16% match #23104020); "
"Pork, loin chops, grilled, lean and fat","Pork chop, fried, lean and fat eaten(77.33% match #22101210); Pork chop, fried, lean only eaten(72.22% match #22101220); Pork chop, stewed, lean and fat eaten(71.05% match #22101510); "
"Pork, loin chops, grilled, lean","Pork chop, fried, lean only eaten(65.62% match #22101220); "
"Pork, spare rib chops, raw, lean and fat, weighed with bone","Pork, spareribs, cooked, lean and fat eaten(68.63% match #22701010); Pork, spareribs, barbecued, with sauce, lean and fat eaten(63.25% match #22701040); Pork, spareribs, cooked, lean only eaten(60.61% match #22701020); "
"Pork, loin joint, pot-roasted, lean",
"Pork, steaks, raw, lean",
"Pork, leg joint, raw, lean and fat, weighed with bone","Pork roast, loin, cooked, lean and fat eaten(61.86% match #22401010); "
"Pork, leg joint, lean and fat, roast, medium","Pork roast, loin, cooked, lean and fat eaten(63.64% match #22401010); Pork, spareribs, cooked, lean and fat eaten(62.07% match #22701010); Pork roast, shoulder, cooked, lean and fat eaten(60.87% match #22411010); "
"Pork, leg joint, lean only, roast, medium","Pork roast, loin, cooked, lean only eaten(60.98% match #22401020); "
"Pork, leg joint, lean and fat, raw","Pork roast, loin, cooked, lean and fat eaten(66.67% match #22401010); Pork, spareribs, cooked, lean and fat eaten(64.94% match #22701010); Pork roast, shoulder, cooked, lean and fat eaten(63.41% match #22411010); "
"Pork, diced, casseroled, lean only","Pork, spareribs, cooked, lean only eaten(64.86% match #22701020); Pork roast, shoulder, cooked, lean only eaten(63.29% match #22411020); Pork roast, smoked or cured, cooked, lean only eaten(62.79% match #22421020); "
"Pork, steaks, stewed, lean and fat","Pork chop, stewed, lean and fat eaten(76.06% match #22101510); Pork chop, stewed, lean only eaten(70.59% match #22101520); Pork, spareribs, cooked, lean and fat eaten(70.13% match #22701010); "
"Pork, spare rib chops, braised, lean and fat, weighed with bone","Pork, spareribs, cooked, lean and fat eaten(69.81% match #22701010); Pork, spareribs, barbecued, with sauce, lean and fat eaten(64.46% match #22701040); Pork, spareribs, cooked, lean only eaten(62.14% match #22701020); "
"Pork, steaks, grilled, lean and fat","Pork steak or cutlet, fried, lean and fat eaten(73.17% match #22201210); Beef steak, braised, lean and fat eaten(70.27% match #21105120); Pork, NS as to cut, fried, lean and fat eaten(70.0% match #22000210); "
"Pork, steaks, grilled, lean","Pork steak or cutlet, fried, lean only eaten(61.97% match #22201220); "
"Pork, steaks, raw, lean and fat","Pork chop, stewed, lean and fat eaten(70.59% match #22101510); Pork steak or cutlet, fried, lean and fat eaten(69.23% match #22201210); Pork, spareribs, cooked, lean and fat eaten(67.57% match #22701010); "
"Pork, spare rib chops, braised, lean","Pork, spareribs, cooked, lean only eaten(65.79% match #22701020); Pork, spareribs, cooked, NS as to fat eaten(60.76% match #22701000); "
"Pork, spare rib steaks, raw, lean and fat","Pork, spareribs, cooked, lean and fat eaten(73.81% match #22701010); Pork, spareribs, cooked, lean only eaten(69.14% match #22701020); Pork, spareribs, barbecued, with sauce, lean and fat eaten(66.67% match #22701040); "
"Pork, spare rib slices, grilled, lean and fat, weighed with bone","Pork, spareribs, cooked, lean and fat eaten(69.16% match #22701010); Pork, spareribs, barbecued, with sauce, lean and fat eaten(62.3% match #22701040); "
