UKFoodCode	FoodName
18-305	"Poussin, raw, meat and skin"
18-314	"Chicken, leg quarter, casseroled, meat and skin"
18-489	"Duck, raw, meat only"
18-495	"Duck, raw, meat only, weighed with fat, skin and bone"
18-371	"Duck, raw, meat, fat and skin"
18-490	"Duck, crispy, chinese style"
18-373	"Duck, roasted, meat only, weighed with fat, skin and bone"
18-372	"Duck, roasted, meat only"
18-374	"Duck, roasted, meat, fat and skin"
18-375	"Goose, raw, meat, fat and skin"
18-376	"Goose, roasted, meat, fat and skin"
18-377	"Grouse, roasted, meat only"
18-378	"Grouse, roasted, meat only, weighed with bone"
18-379	"Hare, stewed, meat only"
18-380	"Hare, stewed, meat only, weighed with bone"
18-106	"Lamb, best end neck cutlets, barbecued, lean and fat, weighed with bone"
18-111	"Lamb, breast, raw, lean"
18-110	"Lamb, best end neck cutlets, grilled, lean and fat, weighed with bone"
18-100	"Lamb, average, trimmed fat, cooked"
18-109	"Lamb, best end neck cutlets, grilled, lean and fat"
18-108	"Lamb, best end neck cutlets, grilled, lean, weighed with fat and bone"
18-107	"Lamb, best end neck cutlets, grilled, lean"
18-112	"Lamb, breast, raw, lean and fat"
18-105	"Lamb, best end neck cutlets, barbecued, lean and fat"
18-104	"Lamb, best end neck cutlets, barbecued, lean, weighed with fat and bone"
18-103	"Lamb, best end neck cutlets, barbecued, lean"
18-113	"Lamb, breast, roasted, lean"
18-101	"Lamb, best end neck cutlets, raw, lean and fat"
18-099	"Lamb, average, extra trimmed fat, raw"
18-098	"Lamb, average, trimmed fat, raw"
18-097	"Lamb, average, extra trimmed lean, raw"
18-102	"Lamb, best end neck cutlets, raw, lean and fat, weighed with bone"
18-176	"Lamb, shoulder, half knuckle, braised, lean and fat"
18-166	"Rack of lamb, raw, lean and fat"
18-185	"Lamb, stewing, pressure cooked, lean and fat"
18-184	"Lamb, stewing, pressure cooked, lean"
18-183	"Lamb, stewing, raw, lean and fat, weighed with bone"
18-182	"Lamb, stewing, raw, lean and fat"
18-181	"Lamb, shoulder, whole, roasted, lean and fat, weighed with bone"
18-180	"Lamb, shoulder, whole, roasted, lean and fat"
18-179	"Lamb, shoulder, whole, roasted, lean"
18-187	"Lamb, stewing, stewed, lean and fat"
18-177	"Lamb, shoulder joint, roasted, lean"
18-188	"New Zealand lamb, leg, whole, chilled, roasted, lean"
18-175	"Lamb, shoulder, half knuckle, braised, lean"
18-174	"Lamb, shoulder, half bladeside, pot-roasted, lean and fat"
18-173	"Lamb, shoulder, half bladeside, pot-roasted, lean"
18-172	"Lamb, shoulder, diced, kebabs, grilled, lean and fat"
18-171	"Lamb, shoulder, raw, lean and fat, weighed with bone"
18-170	"Lamb, shoulder, raw, lean and fat"
18-169	"Rack of lamb, roasted, lean and fat"
18-168	"Rack of lamb, roasted, lean"
18-167	"Rack of lamb, raw, lean and fat, weighed with bone"
18-178	"Lamb, shoulder joint, roasted, lean and fat"
18-198	"New Zealand lamb, mince, frozen, stewed"
18-114	"Lamb, breast, roasted, lean and fat"
18-497	"Lamb, loin chops, raw, lean and fat, weighed with bone"
18-496	"Lamb, loin chops, grilled, lean and fat, weighed with bone"
18-480	"Lamb, leg, whole, lean and fat, roast, medium"
18-478	"Lamb, leg, average, lean and fat, raw"
18-477	"Lamb, loin chops, lean and fat, grilled"
18-476	"Lamb, loin chops, lean and fat, raw"
18-475	"Lamb, lean only, raw, average"
18-186	"Lamb, stewing, stewed, lean"
18-199	"New Zealand lamb, shoulder, whole, frozen, roasted, lean"
18-479	"Lamb, leg, whole, lean only, roast, medium"
18-197	"New Zealand lamb, loin chops, frozen, grilled, lean and fat, weighed with bone"
18-196	"New Zealand lamb, loin chops, frozen, grilled, lean and fat"
18-195	"New Zealand lamb, loin chops, frozen, grilled, lean, weighed with fat and bone"
18-194	"New Zealand lamb, loin chops, frozen, grilled, lean"
18-193	"New Zealand lamb, leg, whole, frozen, roasted, lean and fat, weighed with bone"
18-192	"New Zealand lamb, leg, whole, frozen, roasted, lean and fat"
18-191	"New Zealand lamb, leg, whole, frozen, roasted, lean"
18-190	"New Zealand lamb, leg, whole, frozen, raw, lean and fat, weighed with bone"
18-189	"New Zealand lamb, leg, whole, chilled, roasted, lean and fat"
18-200	"New Zealand lamb, shoulder, whole, frozen, roasted, lean and fat"
18-124	"Lamb, leg chops, grilled, lean and fat"
18-134	"Lamb, leg steaks, grilled, lean and fat"
18-133	"Lamb, leg steaks, grilled, lean"
18-132	"Lamb, leg joint, roasted, lean and fat"
18-131	"Lamb, leg joint, roasted, lean"
18-130	"Lamb, leg, half knuckle, pot-roasted, lean and fat, weighed with bone"
18-129	"Lamb, leg, half knuckle, pot-roasted, lean and fat"
18-128	"Lamb, leg, half knuckle, pot-roasted, lean"
18-127	"Lamb, leg, half fillet, braised, lean and fat"
18-137	"Lamb, leg, whole, roasted well done, lean"
18-125	"Lamb, leg chops, grilled, lean and fat, weighed with bone"
18-117	"Lamb, chump chops, fried, lean"
18-122	"Lamb, chump steaks, fried, lean and fat"
18-121	"Lamb, chump steaks, raw, lean and fat"
18-120	"Lamb, chump chops, fried, lean and fat, weighed with bone"
18-119	"Lamb, chump chops, fried, lean and fat"
18-118	"Lamb, chump chops, fried, lean, weighed with fat and bone"
18-116	"Lamb, chump chops, raw, lean and fat, weighed with bone"
18-115	"Lamb, chump chops, raw, lean and fat"
18-165	"Lamb, neck fillet, strips, stir-fried, lean and fat"
18-481	"Lamb, mince, raw"
18-126	"Lamb, leg, half fillet, braised, lean"
18-161	"Lamb, neck fillet, raw, lean and fat"
18-163	"Lamb, neck fillet, slices, grilled, lean and fat"
18-138	"Lamb, leg, whole, roasted well done, lean and fat"
18-164	"Lamb, neck fillet, strips, stir-fried, lean"
18-162	"Lamb, neck fillet, slices, grilled, lean"
18-160	"Lamb, neck fillet, raw, lean"
18-159	"Lamb, mince, stewed"
18-157	"Lamb, loin joint, roasted, lean and fat, weighed with bone"
18-156	"Lamb, loin joint, roasted, lean and fat"
18-155	"Lamb, loin joint, roasted, lean"
18-154	"Lamb, loin joint, raw, lean and fat, weighed with bone"
18-146	"Lamb, loin chops, microwaved, lean, weighed with fat and bone"
18-153	"Lamb, loin joint, raw, lean and fat"
18-142	"Lamb, loin chops, grilled, lean, weighed with fat and bone"
18-145	"Lamb, loin chops, microwaved, lean"
18-141	"Lamb, loin chops, grilled, lean"
18-147	"Lamb, loin chops, microwaved, lean and fat"
18-148	"Lamb, loin chops, microwaved, lean and fat, weighed with bone"
18-149	"Lamb, loin chops, roasted, lean"
18-150	"Lamb, loin chops, roasted, lean, weighed with fat and bone"
18-151	"Lamb, loin chops, roasted, lean and fat"
18-152	"Lamb, loin chops, roasted, lean and fat, weighed with bone"
19-380	"Chicken fricassee, reduced fat"
19-394	"Duck a l'orange, including fat and skin"
19-383	Chicken korma
19-384	Chicken risotto
19-385	"Chicken, stir-fried with mushrooms and cashew nuts"
19-386	"Chicken, stir-fried with peppers in black bean sauce"
19-387	Chicken vindaloo
19-388	"Chicken vindaloo, reduced fat"
19-382	"Chicken in white sauce, made with semi-skimmed milk"
19-389	Corned beef hash
19-390	"Coronation chicken, reduced fat"
19-391	"Cottage pie, homemade"
19-398	"Lamb biryani, reduced fat"
19-393	"Duck a l'orange, excluding fat and skin"
19-396	Duck with pineapple
19-397	Lamb biryani
19-369	Beef and spinach curry
19-399	"Lamb kheema, reduced fat"
19-400	Lamb koftas
19-392	Devilled kidneys
19-368	"Meat loaf, homemade"
19-356	"Beefburgers, homemade, fried with bun"
19-425	Spaghetti bolognese
19-401	Lamb rogan josh
19-358	"Beef steak pudding, homemade"
19-359	"Chicken and mushroom pie, single crust, homemade"
19-360	"Cornish pastie, homemade"
19-361	"Lamb samosas, homemade, baked"
19-371	Beef enchiladas
19-365	"Turkey pie, single crust, homemade"
19-378	Carbonnade of Beef
19-370	Beef curry
19-357	"Beefburgers, homemade, grilled, with bun"
19-372	Beef kheema
19-373	Beef olives
19-374	"Beef stew, made with lean beef, homemade"
19-375	Beef stew and dumplings
19-376	Beef Stroganoff
19-377	Beef Wellington
19-363	"Steak and kidney pie, double crust, homemade"
19-436	"Shish kebabs, with onions and peppers"
19-426	"Sweet and sour pork, made with lean pork"
19-427	"Sweet and sour pork, made with canned sweet and sour sauce"
19-428	Toad in the hole
19-429	"Toad in the hole, made with skimmed milk and reduced fat sausages"
19-430	"Tripe and onions, stewed"
19-431	Rabbit casserole
19-432	"Pork, stir-fried with vegetables"
19-423	Pork spare ribs in black bean sauce
19-435	Shepherd's pie
19-421	"Pork spare ribs, 'barbecue style'"
19-437	Stuffed cabbage leaves
19-438	Stuffed peppers
19-439	Turkey and pasta bake
19-440	"Turkey, stir-fried with vegetables"
19-441	Venison in red wine and port
19-442	Wiener schnitzel
19-355	"Beefburgers, homemade, grilled"
19-379	Chicken fricassee
19-433	Salmis of pheasant
19-413	Pasta wth ham and mushroom sauce
19-403	Lamb vindaloo
19-404	Lamb's heart casserole
19-405	Lemon chicken
19-406	"Liver and bacon, fried"
19-407	"Liver and onions, stewed"
19-408	"Minced beef, stewed"
19-409	"Minced beef, extra lean, stewed"
19-410	"Minced beef with vegetables, stewed"
19-424	"Pork spare ribs in black bean sauce, weighed with bone"
19-412	Moussaka
19-422	"Pork spare ribs, 'barbecue style', homemade, weighed with bone"
19-414	Pork and apple casserole
19-415	Pork and beef meatballs in tomato sauce
19-416	Pork and chicken chow mein
19-417	"Coq au vin, weighed with bone"
19-418	Pork chops in mustard and cream
19-419	"Pork chops in mustard and cream, weighed with bone"
19-420	Pork and pineapple kebabs
19-402	Lamb stir-fried with vegetables
19-411	"Minced lamb, stewed"
19-215	"Cottage/Shepherd's pie, homemade"
19-279	"Tagliatelle with ham, mushroom and cheese, chilled/frozen/longlife, reheated"
19-189	"Chicken curry, chilled/frozen, reheated, with rice"
19-193	"Chicken in sauce with vegetables, chilled/frozen, reheated"
19-194	"Chicken in white sauce, canned"
19-201	"Chicken, stir-fried with rice and vegetables, frozen, reheated"
19-204	"Chicken wings, marinated, chilled/frozen, barbecued"
19-205	"Chicken wings, marinated, chilled/frozen, barbecued, weighed with bone"
19-207	"Chilli con carne, canned"
19-187	"Chicken chasseur, weighed with bone"
19-209	"Chilli con carne, chilled/frozen, reheated, with rice"
19-184	"Cannelloni, chilled/frozen, reheated"
19-216	"Cottage/Shepherd's pie, chilled/frozen, reheated"
19-224	"Irish stew, canned"
19-231	"Lamb/Beef hot pot with potatoes, chilled/frozen, retail, reheated"
19-238	"Lasagne, chilled/frozen, reheated"
19-244	"Minced beef with gravy with/without onions, canned"
19-248	"Moussaka, chilled/frozen/longlife, reheated"
19-262	"Pork spare ribs, 'barbecue style', chilled/frozen, reheated"
19-263	"Pork spare ribs, 'barbecue style', chilled/frozen, reheated,  weighed with bone"
19-208	"Chilli con carne, chilled/frozen, reheated"
19-138	"Meat loaf, chilled/frozen, reheated"
19-381	"Chicken in white sauce, made with whole milk"
19-354	"Beefburgers, homemade, fried"
50-561	Pancake roll
19-060	"Lamb samosa, homemade, baked"
19-120	"Chicken breast, marinated with garlic and herbs, chilled/frozen, baked"
19-122	"Chicken goujons, chilled/frozen, baked"
19-127	"Chicken tandoori, chilled, reheated"
19-129	"Doner kebabs, meat only"
19-188	"Chicken curry, chilled/frozen, reheated"
19-131	"Faggots in gravy, chilled/frozen, reheated"
19-169	"Beef curry, chilled/frozen, reheated"
19-150	"Shish kebab, meat only"
19-151	Shish kebab in pitta bread with salad
19-163	"Beef casserole, canned"
19-168	"Beef curry, canned"
19-170	"Beef curry, chilled/frozen, reheated, with rice"
19-172	"Beef in sauce with vegetables, chilled/frozen, reheated"
19-178	"Beef stew and dumplings, canned"
19-179	"Beef stew and dumplings, retail, cooked"
19-130	Doner kebab in pitta bread with salad
19-347	Pasta with meat and tomato sauce
19-335	"Beef, stir-fried with green peppers"
19-336	"Chicken curry, made with canned curry sauce"
19-337	"Chilli con carne, homemade"
19-338	Coq au vin
19-339	Coronation chicken
19-340	Goulash
19-341	Irish stew
19-342	"Irish stew, made with lean lamb"
19-334	"Beef stew, homemade"
19-345	Lancashire hotpot
19-344	"Lamb curry, made with canned curry sauce"
19-348	"Pork casserole, made with canned cook-in sauce"
19-349	Sweet and sour pork
19-350	Chicken chasseur
19-351	Sausage casserole
19-305	"Beef stir-fried with green peppers in black bean sauce, takeaway"
19-165	"Beef chow mein, retail, reheated"
19-352	Bolognese sauce (with meat)
19-353	"Spaghetti bolognese, chilled/frozen, reheated, with spaghetti"
19-343	Lamb kheema
19-323	Chicken satay
19-300	"Chicken korma, takeaway"
19-302	"Chicken with cashew nuts, takeaway"
19-346	"Lasagne, homemade"
50-543	Beef koftas
19-306	"Lamb rogan josh, takeaway"
19-304	"Sweet and sour pork, battered, takeaway"
19-322	"Chicken curry, average, takeaway"
19-324	"Sweet and sour chicken, takeaway"
19-325	"Chicken tikka masala, retail"
19-331	"Beef bourguignonne, made with lean beef"
19-327	"Spring rolls, meat, takeaway"
19-328	"Spaghetti bolognese, chilled/frozen, reheated"
19-333	"Beef curry, reduced fat"
19-299	"Chicken fried rice, takeaway"
19-330	Beef bourguignonne
19-298	"Chicken chop suey, takeaway"
19-326	"Meat samosas, takeaway"
19-321	"Chicken chow mein, takeaway"
19-332	"Beef casserole, made with canned cook-in sauce"
19-128	"Corned beef, canned"
19-132	"Haggis, boiled"
19-133	"Ham and pork, chopped, canned"
19-134	"Lamb roast, frozen, cooked"
19-135	"Luncheon meat, canned"
19-139	Meat spread
19-142	Pastrami
19-126	Chicken slices
19-114	"Black pudding, dry-fried"
19-140	"Minced beef in gravy, canned"
19-141	"Minced beef pie filling, canned"
19-136	"Luncheon meat, Chinese, steamed"
19-125	Chicken roll
19-124	"Chicken nuggets, takeaway"
19-123	"Chicken kiev, frozen, baked"
19-121	"Chicken fingers, baked"
19-119	"Chicken breast in crumbs, chilled, grilled"
19-117	"Chicken breast in crumbs, chilled, raw"
19-115	Brawn
19-113	"Black pudding, raw"
19-112	Beef slices
19-144	"Pate, liver, in a tube"
19-318	"Pork sausages, raw, average"
19-110	Salami
19-109	Polony
19-108	Pepperami
19-116	"Chicken in crumbs, stuffed with cheese and vegetables,  chilled/frozen, baked"
19-249	"Pancakes, beef, frozen, shallow-fried"
19-367	"Frankfurter with bun, ketchup, fried onions and mustard"
19-068	"Sausage rolls, short pastry, homemade"
19-107	Mortadella
19-366	Frankfurter with bun
19-364	"Steak and kidney pudding, homemade"
19-362	"Lamb samosas, homemade, deep fried"
19-329	"Steak and kidney pie, single crust, homemade"
19-320	"Scotch eggs, retail"
19-319	"Saveloy, unbattered, takeaway"
19-317	"Pate, liver"
19-295	"Turkey sausages, raw"
19-316	"Cornish pastie, retail"
19-250	"Pancakes, chicken, frozen, shallow-fried"
19-145	"Pate, meat, reduced fat"
19-159	White pudding
19-158	"Turkey steaks in crumbs, frozen, grilled"
19-157	Turkey slices
19-156	Turkey roll
19-155	"Turkey roast, frozen, cooked"
19-154	Tongue slices
19-153	"Tongue, canned"
19-152	"Stewed steak with gravy, canned"
19-149	"Rissoles, savoury"
19-148	Pork slices
19-147	"Pork roast, frozen, cooked"
19-146	Pork haslet
19-293	"Sausage roll, flaky pastry, cooked"
19-049	"Steaklets, frozen, raw"
19-075	"Beef sausages, chilled, raw"
19-069	"Steak and kidney/Beef pie, individual, chilled/frozen, baked"
19-067	"Sausage rolls, flaky pastry, homemade"
19-066	"Sausage rolls, puff pastry"
19-065	"Pork pie, sliced"
19-064	"Pork pie, mini"
19-063	"Pork pie, individual"
19-062	Pork and egg pie
19-106	Liver sausage
19-058	Game pie
19-072	"Steak and kidney pudding, canned"
19-076	"Beef sausages, chilled, fried"
19-051	"Beef pie, chilled/frozen, baked"
19-061	"Lamb samosa, homemade, deep-fried"
19-048	"Quarterpounder, takeaway"
19-045	"Grillsteaks, beef, chilled/frozen, fried"
19-044	"Grillsteaks, beef, chilled/frozen, raw"
19-038	"Beefburgers in gravy, canned"
19-037	"Beefburgers, low fat, chilled/frozen, grilled"
19-036	"Beefburgers, low fat, chilled/frozen, fried"
19-035	"Beefburgers, low fat, chilled/frozen, raw"
19-027	"Pork shoulder, cured, slices"
19-026	"Ham, premium"
19-025	"Ham, Parma"
19-024	"Ham, canned"
19-053	"Bridie/Scotch pie, individual"
19-100	Frankfurter
19-105	Knackwurst
19-055	"Chicken pie, individual, chilled/frozen, baked"
19-103	Garlic sausage
19-077	"Beef sausages, chilled, grilled"
19-099	Chorizo
19-098	Cervelat
19-097	Bratwurst
19-096	Bierwurst
19-095	"Premium sausages, chilled, grilled"
19-094	"Premium sausages, chilled, fried"
19-093	"Premium sausages, chilled, raw"
19-092	"Pork and beef, economy sausages, chilled, grilled"
19-091	"Pork and beef, economy sausages, chilled, fried"
19-079	"Pork sausages, chilled, fried"
19-104	Kabana
19-090	"Pork and beef, economy sausages, chilled, raw"
19-078	"Pork sausages, chilled, raw"
19-080	"Pork sausages, chilled, grilled"
19-081	"Pork sausages, frozen, raw"
19-082	"Pork sausages, frozen, fried"
19-088	"Pork and beef sausages, chilled, grilled"
19-084	"Pork sausages, reduced fat, chilled/frozen, raw"
19-085	"Pork sausages, reduced fat, chilled/frozen, fried"
19-086	"Pork sausages, reduced fat, chilled/frozen, grilled"
19-087	"Pork and beef sausages, chilled, raw"
19-083	"Pork sausages, frozen, grilled"
19-089	"Pork and beef sausages, frozen, raw"
18-422	"Sweetbread, lamb, fried"
18-421	"Sweetbread, lamb, raw"
18-420	"Oxtail, stewed"
18-419	"Oxtail, raw"
18-418	"Liver, pig, stewed"
18-415	"Liver, ox, raw"
18-416	"Liver, ox, stewed"
18-423	"Tongue, lamb, raw"
18-493	"Kidney, lamb, fried"
18-417	"Liver, pig, raw"
18-424	"Tongue, ox, pickled, raw"
18-425	"Tongue, ox, pickled, stewed"
18-426	"Tongue, ox, stewed"
18-427	"Tongue, sheep, stewed"
18-428	"Tripe, dressed, raw"
18-429	"Pork, trotters and tails, boiled"
18-492	"Heart, lamb, roasted"
18-494	"Liver, lamb, fried"
18-394	"Giblets, chicken, boiled"
18-413	"Liver, lamb, raw"
18-456	"Kidney, lamb, grilled"
18-400	"Heart, pig, raw"
18-412	"Liver, chicken, fried"
50-502	"Tripe, dressed, stewed"
18-392	"Brain, lamb, boiled"
18-393	"Giblets, chicken, raw"
18-396	"Heart, lamb, raw"
18-395	"Giblets, turkey, boiled"
50-494	"Oxtail, stewed, weighed with fat and bones"
18-399	"Heart, ox, stewed"
18-401	"Heart, pig, stewed"
18-402	"Kidney, lamb, raw"
18-404	"Kidney, ox, raw"
18-405	"Kidney, ox, stewed"
18-406	"Kidney, pig, raw"
18-407	"Kidney, pig, fried"
18-408	"Kidney, pig, stewed"
18-409	"Liver, calf, raw"
18-410	"Liver, calf, fried"
18-411	"Liver, chicken, raw"
18-398	"Heart, ox, raw"
18-381	"Partridge, roasted, meat only"
18-382	"Partridge, roasted, meat only, weighed with bone"
18-384	"Pheasant, roasted, meat only, weighed with bone"
18-454	"Pheasant, casseroled, meat only"
18-383	"Pheasant, roasted, meat only"
18-386	"Pigeon, roasted, meat only, weighed with bone"
18-385	"Pigeon, roasted, meat only"
18-258	"Pork, loin joint, raw, lean and fat"
18-269	"Pork, spare rib chops, raw, lean and fat"
18-268	"Pork, mince, stewed"
18-267	"Pork, mince, raw"
18-266	"Pork, loin steaks, fried, lean and fat"
18-265	"Pork, loin steaks, fried, lean"
18-264	"Pork, loin steaks, raw, lean and fat"
18-263	"Pork, loin joint, roasted, lean and fat"
18-262	"Pork, loin joint, roasted, lean"
18-261	"Pork, loin joint, pot-roasted, lean and fat"
18-259	"Pork, loin joint, raw, lean and fat, weighed with bone"
18-287	"Pork, steaks, stewed, lean"
18-257	"Pork, loin chops, roasted, lean and fat, weighed with bone"
18-256	"Pork, loin chops, roasted, lean and fat"
18-255	"Pork, loin chops, roasted, lean"
18-254	"Pork, loin chops, microwaved, lean and fat"
18-253	"Pork, loin chops, microwaved, lean"
18-252	"Pork, loin chops, grilled, lean and fat"
18-251	"Pork, loin chops, grilled, lean"
18-270	"Pork, spare rib chops, raw, lean and fat, weighed with bone"
18-260	"Pork, loin joint, pot-roasted, lean"
18-283	"Pork, steaks, raw, lean"
18-498	"Pork, leg joint, raw, lean and fat, weighed with bone"
18-485	"Pork, leg joint, lean and fat, roast, medium"
18-484	"Pork, leg joint, lean only, roast, medium"
18-483	"Pork, leg joint, lean and fat, raw"
18-482	"Pork, diced, casseroled, lean only"
18-288	"Pork, steaks, stewed, lean and fat"
18-273	"Pork, spare rib chops, braised, lean and fat, weighed with bone"
18-286	"Pork, steaks, grilled, lean and fat"
18-285	"Pork, steaks, grilled, lean"
18-284	"Pork, steaks, raw, lean and fat"
18-271	"Pork, spare rib chops, braised, lean"
18-282	"Pork, spare rib steaks, raw, lean and fat"
18-281	"Pork, spare rib slices, grilled, lean and fat, weighed with bone"
18-280	"Pork, spare rib slices, grilled, lean and fat"
18-279	"Pork, spare rib slices, raw, lean and fat, weighed with bone"
18-278	"Pork, spare ribs, raw, lean and fat"
18-277	"Pork, spare rib joint, pot-roasted, lean and fat"
18-276	"Pork, spare rib joint, pot-roasted, lean"
18-274	"Pork, spare rib joint, raw, lean and fat"
18-272	"Pork, spare rib chops, braised, lean and fat"
18-250	"Pork, loin chops, frozen, grilled, lean"
18-210	"Pork, chump chops, raw, lean and fat"
18-201	"Pork, trimmed lean, raw"
18-221	"Pork, diced, kebabs, grilled, lean"
18-220	"Pork, diced, casseroled, lean and fat"
18-217	"Pork, diced, raw, lean"
18-249	"Pork, loin chops, barbecued, lean and fat"
18-215	"Pork, chump steaks, fried, lean and fat"
18-214	"Pork, chump steaks, raw, lean and fat"
18-213	"Pork, chump chops, fried, lean and fat, weighed with bone"
18-222	"Pork, diced, kebabs, grilled, lean and fat"
18-211	"Pork, chump chops, raw, lean and fat, weighed with bone"
18-218	"Pork, diced, raw, lean and fat"
18-209	"Pork, belly joint/slices, grilled, lean and fat"
18-208	"Pork, belly joint, roasted, lean and fat"
18-207	"Pork, belly joint/slices, raw, lean and fat, weighed with bone"
18-206	"Pork, belly joint/slices, raw, lean and fat"
18-205	"Pork, fat, cooked"
18-204	"Pork, extra trimmed fat, raw"
18-203	"Pork, trimmed fat, raw"
18-202	"Pork, extra trimmed lean, raw"
18-275	"Pork, spare rib joint, raw, lean and fat, weighed with bone"
18-212	"Pork, chump chops, fried, lean and fat"
18-242	"Pork, leg joint, roasted well done, lean"
18-248	"Pork, loin chops, barbecued, lean"
18-247	"Pork, loin chops, raw, lean and fat, weighed with bone"
18-246	"Pork, loin chops, raw, lean and fat"
18-245	"Pork, leg joint, frozen, roasted, lean and fat"
18-216	"Pork, crackling, cooked"
18-243	"Pork, leg joint, roasted well done, lean and fat"
18-223	"Pork, diced, slow-cooked, lean"
18-239	"Pork, leg joint, microwaved, lean and fat"
18-238	"Pork, leg joint, microwaved, lean"
18-235	"Pork, leg joint, raw, lean"
18-234	"Pork, hand, shoulder joint, roasted, lean and fat"
18-232	"Pork, hand, shoulder joint, pressure cooked, lean and fat"
18-231	"Pork, hand, shoulder joint, pressure cooked, lean"
18-230	"Pork, hand, shoulder joint, raw, lean and fat"
18-229	"Pork, hand, shoulder joint, raw, lean"
18-228	"Pork, fillet strips, stir-fried, lean"
18-224	"Pork, diced, slow-cooked, lean and fat"
18-227	"Pork, fillet slices, grilled, lean and fat"
18-226	"Pork, fillet slices, grilled, lean"
18-225	"Pork, fillet, raw, lean and fat"
18-233	"Pork, hand, shoulder joint, roasted, lean"
18-244	"Pork, leg joint, frozen, roasted, lean"
18-387	"Rabbit, raw, meat only"
18-466	"Rabbit, stewed, meat and fat"
18-388	"Rabbit, stewed, meat only"
18-389	"Rabbit, stewed, meat only, weighed with bone"
18-368	"Whole turkey, roasted, weighed with bone"
18-367	"Whole turkey, roasted"
18-366	"Turkey, drumsticks, roasted, meat and skin, weighed with bone"
18-365	"Turkey, drumsticks, roasted, meat and skin"
18-364	"Turkey, drumsticks, roasted, meat only"
18-363	"Turkey, skin, moist, roasted"
18-362	"Turkey, skin, dry, roasted"
18-361	"Turkey, meat, average, roasted"
18-358	"Turkey, dark meat, roasted"
18-359	"Turkey, light meat, roasted"
18-350	"Turkey, meat, average, raw"
18-357	"Turkey, strips, stir-fried"
18-360	"Turkey, light meat, self-basting, roasted"
18-349	"Turkey, light meat, raw"
18-351	"Turkey, skin, raw"
18-352	"Whole turkey, raw"
18-353	"Whole turkey, raw, weighed with bone"
18-354	"Turkey, mince, stewed"
18-355	"Turkey, thighs, diced, casseroled, meat only"
18-356	"Turkey, breast, fillet, grilled, meat only"
18-348	"Turkey, dark meat, raw"
18-094	"Veal, mince, raw"
18-095	"Veal, mince, stewed"
18-486	"Veal, escalope, raw"
18-487	"Veal, escalope, fried"
18-390	"Venison, raw"
18-491	"Venison, roast"
18-455	"Venison, casseroled, meat only"
19-296	"Chicken tikka, chilled, reheated"
19-046	"Grillsteaks, beef, chilled/frozen, grilled"
19-314	"Cheeseburger, takeaway"
19-313	Whopper burger
19-312	"Quarterpounder with cheese, takeaway"
19-311	"Hamburger, takeaway"
19-309	"Beefburgers, chilled/frozen, raw"
19-043	"Economy burgers, frozen, grilled"
19-042	"Economy burgers, frozen, raw"
19-030	"Beefburgers, chilled/frozen, grilled"
19-029	"Beefburgers, chilled/frozen, fried"
19-315	"Chicken burger, takeaway"
19-310	Big Mac
12-021	"Channel Island milk, semi-skimmed, UHT"
12-020	"Channel Island milk, whole, pasteurised, winter"
12-018	"Channel Island milk, whole, pasteurised"
12-019	"Channel Island milk, whole, pasteurised, summer"
12-357	"Cheese, goats milk soft, full fat, white rind"
12-344	"Cheese, Brie"
12-345	"Cheese, Camembert"
12-346	"Cheese, cheddar, English"
12-347	"Cheese, Cheddar, vegetarian"
12-348	"Cheese, cheddar type, half fat"
12-349	"Cheese spread, plain"
12-350	"Cheese spread, reduced fat"
12-351	"Cheese, cottage, plain"
12-352	"Cheese, cottage, plain, reduced fat"
12-353	"Cheese, cream"
12-354	"Cheese, Danish blue"
12-355	"Cheese, Edam"
12-368	"Cheese, white, average"
12-148	"Cottage cheese, plain, with additions"
12-358	"Cheese, Gouda"
12-359	"Cheese, hard, average"
12-360	"Cheese, Mozzarella, fresh"
12-361	"Cheese, Parmesan, fresh"
12-362	"Cheese, processed, plain"
12-363	"Cheese, processed, slices, reduced fat"
12-364	"Cheese, spreadable, soft white, full fat"
12-365	"Cheese, spreadable, soft white, medium fat"
12-366	"Cheese, spreadable, soft white, low fat"
12-367	"Cheese, Stilton, blue"
12-197	Yogurt powder
12-356	"Cheese, Feta"
12-132	"Cheese, Caerphilly"
12-182	"Cheese, Wensleydale"
12-153	"Cheese, Double Gloucester"
12-134	"Cheese, Cheddar, average"
12-135	"Cheese, Cheddar, Australian"
12-136	"Cheese, Cheddar, Canadian"
12-138	"Cheese, Cheddar, Irish"
12-139	"Cheese, Cheddar, New Zealand"
12-143	"Cheese spread, flavoured"
12-144	"Cheese spread, lactic"
12-145	"Cheese, Cheshire"
12-146	"Cheese, Cheshire-type, reduced fat"
12-152	"Cheese, Derby"
12-176	"Cheese, Ricotta"
12-179	"Cheese, soya"
12-181	"Cheese, Stilton, white"
12-155	"Cheese, Edam-type, reduced fat"
12-177	"Cheese, Roquefort"
12-175	"Cheese, Red Windsor"
12-174	Quark
12-173	"Cheese, processed, smoked"
12-167	"Cheese, Leicester"
12-166	"Cheese, Lancashire"
12-164	"Cheese, Gruyere"
12-156	"Cheese, Emmental"
12-178	"Cheese, Sage Derby"
12-071	"Progress, reconstituted"
12-070	Progress
12-332	"Cream, fresh, single"
12-337	"Cream, dairy, extra thick"
12-336	"Creme fraiche, half fat"
12-335	Creme fraiche
